url_baza,url_strony,n_strony,id_oferty,tytul_oferty,link_oferty,oferta_cena,oferta_waluta,oferta_miejscowosc,oferta_rocznik,oferta_przebieg,oferta_pojemnosc,oferta_paliwo
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=1,1,6108663044,Audi A3,https://www.otomoto.pl/oferta/audi-a3-sprzedam-audi-a3-ID6Fpkji.html,15900,PLN,Tczew (Pomorskie),2006,288027,1968,Diesel
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=1,1,6108884813,Audi A3 2.0 TDI Ambition,https://www.otomoto.pl/oferta/audi-a3-zadbany-ID6Fqg0d.html,23000,PLN,Jeleń (Warmińsko-mazurskie),2008,248500,1968,Diesel
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=1,1,6108647944,Audi A3 1.9 TDI Ambition,https://www.otomoto.pl/oferta/audi-a3-1-9tdi-105km-mmi-top-stan-serwis-raty-zamiana-gwarancja-ID6FpgnK.html,26900,PLN,Zwoleń (Mazowieckie),2008,207000,1896,Diesel
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=1,1,6108643643,Audi A3 1.2 TFSI Ambition,https://www.otomoto.pl/oferta/audi-a3-nowy-rozrzad-filtry-oleje-niski-przebieg-163-000-km-1-wlasciciel-ID6Fpfgn.html,26900,PLN,Poręba (Śląskie),2009,163502,1197,Benzyna
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=1,1,6108875733,Audi A3 2.0 TDI Sportback DPF quattro Ambition,https://www.otomoto.pl/oferta/audi-a3-2-kompl-kol-quattro-tempomat-alu-nawigacja-gwarancja-bezwypadek-ID6FqdDL.html,37999,PLN,Kąty Opolskie (Opolskie),2011,211250,1968,Diesel
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=1,1,6107532102,Audi A3,https://www.otomoto.pl/oferta/audi-a3-2-0tdi-140km-6biegow-led-xenon-18alu-rotory-caly-w-oryginale-ID6FkA6i.html,33900,PLN,Radom (Mazowieckie),2009,224212,1968,Diesel
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=1,1,6105799725,Audi A3 1.2 TFSI Limited Edition,https://www.otomoto.pl/oferta/audi-a3-z-niemiec-bogata-wersja-klimatronik-led-xenon-grzane-fotel-ID6FdjqJ.html,34900,PLN,Rawicz (Wielkopolskie),2011,135400,1197,Benzyna
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=1,1,6108868618,Audi A3,https://www.otomoto.pl/oferta/audi-a3-audi-a3-8p-2006r-2-0-fsi-150-km-alu-17-tempomat-6bieg-ID6FqbN0.html,19900,PLN,Gorzów Wielkopolski (Lubuskie),2006,288000,1984,Benzyna
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=1,1,6108864819,Audi A3,https://www.otomoto.pl/oferta/audi-a3-s-line-panorama-nawigacja-skora-ID6FqaNJ.html,42500,PLN,Ostrów Mazowiecka (Mazowieckie),2009,129000,1798,Benzyna
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=1,1,6107953106,Audi A3 2.0 TDI Quattro Ambiente,https://www.otomoto.pl/oferta/audi-a3-audi-a3-quattro-sline-ID6FmlCG.html,22000,PLN,Bukowina Tatrzańska (Małopolskie),2006,224000,1968,Diesel
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=1,1,6108861575,Audi A3 2.0 TDI DPF Ambiente,https://www.otomoto.pl/oferta/audi-a3-2-0-diesel-170-km-stan-bardzo-dobry-ID6Fq9Xp.html,25900,PLN,Radom (Mazowieckie),2008,263000,1968,Diesel
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=1,1,6107657169,Audi A3 1.4 TFSI Sportback S tronic Attraction,https://www.otomoto.pl/oferta/audi-a3-audi-a3-8p-sportaback-niski-przebieg-ID6Fl6Dw.html,31500,PLN,Kłodzko (Dolnośląskie),2009,111000,1390,Benzyna
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=1,1,6105822590,Audi A3 1.6 TDI Sportback Ambiente,https://www.otomoto.pl/oferta/audi-a3-bardzo-zadbany-po-duzym-serwisie-ID6Fdpnv.html,34900,PLN,Lgota Wielka (Łódzkie),2010,261000,1598,Diesel
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=1,1,6108609429,Audi A3 1.6 Ambiente,https://www.otomoto.pl/oferta/audi-a3-8p-sportback-1-6-mpi-102km-benzyna-180-tys-km-przebiegu-bez-rdzy-ID6Fp6mx.html,21800,PLN,Kraków (Małopolskie),2005,180000,1595,Benzyna
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=1,1,6108609570,Audi A3 1.9 TDI Attraction,https://www.otomoto.pl/oferta/audi-a3-1-9-tdi-ideal-1-wlasciciel-auto-perfekcyjne-ID6Fp6oO.html,27900,PLN,Żnin (Kujawsko-pomorskie),2008,260000,1896,Diesel
https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012,https://www.otomoto.pl/osobowe/audi/a3/od-2003?search%5Bfilter_enum_generation%5D=gen-8p-2003-2012&search%5Bfilter_float_year%3Ato%5D=2012&page=1,1,6108527023,Audi A3 1.9 TDI Ambition,https://www.otomoto.pl/oferta/audi-a3-audi-a3-sportback-ID6FoKWp.html,22000,PLN,Nowe Miasto Lubawskie (Warmińsko-mazurskie),2005,281000,1896,Diesel
